n,experiment,empirical_runtime_mean,empirical_runtime_std,lbds,computed_runtime_mean
2000,tuned_dyn_bin5,28992.448,1557.6842835748198,"[]",28902.009989559938
2000,tuned_dyn_bin6,37392.862,1355.118186342431,"[]",37328.152159261015
2000,tuned_dyn_bin7,51800.298,3810.695359274472,"[]",51824.055273109916
2000,tuned_dyn_bin8,32874.678,3636.3089530891075,"[]",33086.611933302134
2000,tuned_dyn_bin9,52537.312,3171.1536674617328,"[]",52537.80415400456
2000,tuned_dyn_bin10,36457.908,2721.778921870033,"[]",36637.920182498296
3000,tuned_dyn_bin0,27738.088,2473.79572888628,"[]",27606.151305534742
3000,tuned_dyn_bin0,27738.088,2473.79572888628,"[]",
3000,tuned_dyn_bin1,28100.758,2198.7053298329906,"[]",27918.509749057383
3000,tuned_dyn_bin1,28100.758,2198.7053298329906,"[]",
3000,tuned_dyn_bin2,25865.386,2116.373621316425,"[]",25883.076539198173
3000,tuned_dyn_bin2,25865.386,2116.373621316425,"[]",
3000,tuned_dyn_bin3,23136.168,2018.2289047023382,"[]",23283.979423179528
3000,tuned_dyn_bin3,23136.168,2018.2289047023382,"[]",
3000,tuned_dyn_bin4,22744.41,2200.7096886913546,"[]",22667.890639254372
3000,tuned_dyn_bin4,22744.41,2200.7096886913546,"[]",
3000,tuned_dyn_bin5,31495.094,1418.3287591965411,"[]",
3000,tuned_dyn_bin6,87831.694,3679.0358270019606,"[]",87898.63681282355
3000,tuned_dyn_bin6,87831.694,3679.0358270019606,"[]",
3000,tuned_dyn_bin7,138053.634,5764.301969540111,"[]",
3000,tuned_dyn_bin8,157308.866,5041.5354645230855,"[]",157324.98222023656
3000,tuned_dyn_bin8,157308.866,5041.5354645230855,"[]",
3000,tuned_dyn_bin9,37566.54,1573.3337816242297,"[]",37494.56740712278
3000,tuned_dyn_bin9,37566.54,1573.3337816242297,"[]",
3000,tuned_dyn_bin10,110027.282,6671.828064816718,"[]",
3000,tuned_dyn_bin11,75002.05,6062.956396965098,"[]",75037.46165416966
3000,tuned_dyn_bin11,75002.05,6062.956396965098,"[]",
500,tuned_dyn_bin0,4037.552,551.7855156634687,"[]",4014.8535530184263
500,tuned_dyn_bin1,4006.254,452.1160708092558,"[]",4026.777180825447
500,tuned_dyn_bin2,3953.032,586.0231420140334,"[]",3946.4863143576913
500,tuned_dyn_bin3,3491.158,466.43483257149654,"[]",3508.288274594541
500,tuned_dyn_bin4,3839.174,523.3510711979101,"[]",3834.4896318923206
500,tuned_dyn_bin5,6446.9,455.7605621376207,"[]",6446.710587951021
